City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Kisangani,CD,0.5167,25.2,68.43,99,100,2.17,overcast clouds
227,Mitu,CO,1.1983,-70.1733,74.34,96,99,0.25,overcast clouds
228,Georgetown,MY,5.4112,100.3354,77.95,91,20,1.99,moderate rain
229,Canto Do Buriti,BR,-8.11,-42.9444,87.15,26,36,6.69,scattered clouds
230,Sorland,NO,67.667,12.6934,53.56,76,38,30.85,scattered clouds
231,La Ronge,CA,55.1001,-105.2842,50.25,34,20,2.3,few clouds
232,Zhangye,CN,38.9342,100.4517,48.92,50,94,11.16,overcast clouds
233,Suffolk,US,40.8668,-72.7996,67.86,95,90,8.01,overcast clouds
234,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,40,7.34,scattered clouds
235,Oktyabrskiy,RU,54.4815,53.471,30.72,67,2,3.02,clear sky
236,Vardo,NO,70.3705,31.1107,50.13,86,100,23.49,overcast clouds
237,Beitbridge,ZW,-22.2167,30.0,64.2,77,99,13.89,overcast clouds
238,Tumut,AU,-35.3,148.2167,54.59,73,86,16.37,overcast clouds
239,Faya,SA,18.3851,42.4509,60.91,48,66,2.51,broken clouds
240,Deputatskiy,RU,69.3,139.9,19.45,77,100,6.69,overcast clouds
241,Barguzin,RU,53.6167,109.6167,33.87,75,10,1.54,clear sky
242,Pisco,PE,-13.7,-76.2167,63.01,82,0,6.91,clear sky
243,Ishigaki,JP,24.3448,124.1572,84.33,74,20,16.11,few clouds
244,Balykshi,KZ,47.0667,51.8667,46.4,46,0,22.37,clear sky
245,Talnakh,RU,69.4865,88.3972,28.76,97,100,11.12,snow
246,Shimoda,JP,34.6667,138.95,79.16,68,19,9.8,few clouds
247,Bambous Virieux,MU,-20.3428,57.7575,68.22,100,75,4.61,broken clouds
248,Nhamunda,BR,-2.1861,-56.7131,81.46,62,94,3.36,overcast clouds
249,Kuching,MY,1.55,110.3333,75.42,100,20,2.3,few clouds
250,Nantucket,US,41.2835,-70.0995,60.94,94,100,24.2,overcast clouds
251,Port Hardy,CA,50.6996,-127.4199,48.38,87,90,4.61,overcast clouds
252,Halifax,CA,44.6453,-63.5724,50.68,87,1,1.01,clear sky
253,Haines Junction,CA,60.7522,-137.5108,40.95,52,80,3.44,broken clouds
254,Imeni Poliny Osipenko,RU,52.4201,136.4853,40.06,45,1,2.48,clear sky
255,Hammerfest,NO,70.6634,23.6821,54.05,71,66,10.36,broken clouds
256,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,13.8,light rain
257,Cabo San Lucas,MX,22.8909,-109.9124,90.52,70,40,8.05,scattered clouds
258,Tanda,IN,26.55,82.65,75.52,93,1,5.39,clear sky
259,Sainte-Suzanne,RE,-20.9061,55.6089,71.82,90,90,10.36,light rain
260,Villafranca De Los Barros,ES,38.5614,-6.3381,56.82,81,3,5.57,clear sky
261,The Valley,AI,18.217,-63.0578,84.09,70,60,24.18,broken clouds
262,Yamada,JP,39.4667,141.95,73.45,67,100,5.06,overcast clouds
263,Najran,SA,17.4924,44.1277,72.25,28,78,3.29,broken clouds
264,Mahibadhoo,MV,3.7833,72.9667,82.6,78,99,20.62,overcast clouds
265,Newport,GB,51.5877,-2.9984,56.77,91,100,14.32,overcast clouds
266,Kostomuksha,RU,64.571,30.5767,43.9,88,65,14.05,broken clouds
267,San Gabriel,US,34.0961,-118.1058,88.48,100,75,11.5,broken clouds
268,Lorengau,PG,-2.0226,147.2712,84.94,63,87,5.03,overcast clouds
269,San Cristobal,VE,7.7669,-72.225,78.98,93,91,2.98,overcast clouds
270,Soweto,ZA,-26.2678,27.8585,57.78,92,0,12.35,clear sky
271,Vung Tau,VN,10.346,107.0843,79.48,84,100,7.25,overcast clouds
272,Rantepao,ID,-2.9701,119.8978,72.52,85,94,0.89,overcast clouds
273,Saint Austell,GB,50.3383,-4.7658,55.96,82,40,18.41,scattered clouds
274,Saurimo,AO,-9.6608,20.3916,66.76,91,49,3.36,light rain
275,Aykhal,RU,66.0,111.5,25.79,97,82,9.93,broken clouds
276,Treinta Y Tres,UY,-33.2333,-54.3833,53.51,65,46,2.04,scattered clouds
277,Pitimbu,BR,-7.4706,-34.8086,75.79,76,14,10.8,few clouds
278,Havelock,US,34.8791,-76.9013,75.94,89,1,1.01,clear sky
279,Saravan,AM,39.7196,45.6483,48.85,85,86,6.29,overcast clouds
280,Vila Do Maio,CV,15.1333,-23.2167,79.59,81,6,12.35,clear sky
281,Lvov,UA,49.8383,24.0232,53.98,71,0,13.42,clear sky
282,Hithadhoo,MV,-0.6,73.0833,83.93,74,20,19.48,few clouds
283,Chatellerault,FR,46.8,0.5333,56.12,1,10,11.54,clear sky
284,Bubaque,GW,11.2833,-15.8333,82.89,79,41,8.16,scattered clouds
285,Maniitsoq,GL,65.4167,-52.9,36.91,58,21,7.05,few clouds
286,Uyuni,BO,-20.4597,-66.825,51.93,9,0,7.49,clear sky
287,Acarau,BR,-2.8856,-40.12,79.75,76,93,16.04,overcast clouds
288,Lensk,RU,60.7253,114.9278,32.16,92,100,4.41,overcast clouds
289,Lincoln,US,40.8,-96.667,73.35,40,1,5.75,clear sky
290,Zaysan,KZ,47.4667,84.8667,42.85,43,86,4.45,overcast clouds
291,Gigmoto,PH,13.7796,124.39,79.16,90,100,7.38,moderate rain
292,Caravelas,BR,-17.7125,-39.2481,75.6,81,6,12.33,clear sky
293,Xiongzhou,CN,25.1167,114.3,81.84,62,0,2.19,clear sky
294,Kalmunai,LK,7.4167,81.8167,77.36,87,100,9.01,overcast clouds
295,Raudeberg,NO,61.9875,5.1352,54.19,84,100,8.99,overcast clouds
296,Ripoll,ES,42.2006,2.1903,51.42,82,16,1.01,few clouds
297,Am Timan,TD,11.0297,20.2827,73.09,87,48,5.28,scattered clouds
298,Sisimiut,GL,66.9395,-53.6735,35.24,77,61,9.89,broken clouds
299,Whitehorse,CA,60.7161,-135.0538,36.37,80,75,3.0,broken clouds
300,Gunjur,GM,13.2019,-16.7339,82.47,94,40,5.75,scattered clouds
301,Souillac,MU,-20.5167,57.5167,68.36,100,75,4.61,broken clouds
302,Tuatapere,NZ,-46.1333,167.6833,63.82,60,70,2.21,light rain
303,Qui Nhon,VN,13.7667,109.2333,78.64,85,100,5.97,overcast clouds
304,Imbituba,BR,-28.24,-48.6703,61.83,84,100,9.48,overcast clouds
